Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed
6/30/2011,AG Mortgage Investment Trust  ,MITT,Deutsche Bank Securities/ Stifel Nicolaus Weisel/ RBC Capital Markets,$20.00 ,$19.64 ,$19.64 ,-1.80%,($0.36),($0.36),1,
7/14/2011,"Oiltanking Partners, L.P. ",OILT,Citi/ Barclays Capital/ J.P. Morgan/ Morgan Stanley,$21.50 ,$24.00 ,$23.70 ,10.23%,$2.50 ,$2.20 ,2,
7/15/2011,Blue Wolf Mongolia Holdings ,MNGLU,Deutsche Bank Securities,$10.00 ,$9.99 ,$10.03 ,0.30%,($0.01),$0.03 ,1,
7/15/2011,Nautilus Marine Acquisition ,NMAR.U,Maxim Group,$10.00 ,$9.95 ,$9.92 ,-0.80%,($0.05),($0.08),1,
7/20/2011,Skullcandy ,SKUL,BofA Merrill Lynch/ Morgan Stanley,$20.00 ,$23.00 ,$20.00 ,0.00%,$3.00 ,$0.00 ,3,
7/20/2011,Zillow  ,Z,Citi,$20.00 ,$60.00 ,$35.77 ,78.85%,$40.00 ,$15.77 ,3,
7/21/2011,SunCoke Energy ,SXC,"Credit Suisse/BofA Merrill Lynch/ Goldman, Sachs & Co.",$16.00 ,$17.00 ,$17.00 ,6.25%,$1.00 ,$1.00 ,3,
7/22/2011,Apollo Residential Mortgage ,AMTG,Morgan Stanley/ Credit Suisse/ J.P. Morgan,$20.00 ,$19.00 ,$18.65 ,-6.75%,($1.00),($1.35),1,
7/22/2011,Francescas Holdings ,FRAN,"Goldman, Sachs/ J.P. Morgan/ Jefferies",$17.00 ,$23.00 ,$27.65 ,62.65%,$6.00 ,$10.65 ,3,
7/27/2011,"American Midstream Partners, LP ",AMID,Cit/ BofA Merrill Lynch,$21.00 ,$21.00 ,$20.95 ,-0.24%,$0.00 ,($0.05),2,Missed
7/27/2011,Dunkin Brands Group ,DNKN,"J.P. Morgan/ Barclays Capital/ Morgan Stanley/ BofA Merrill Lynch/ Goldman, Sachs",$19.00 ,$25.00 ,$27.85 ,46.58%,$6.00 ,$8.85 ,3,
7/27/2011,Tangoe ,TNGO,Deutsche Bank/Stifel Niclous Weisel,$10.00 ,$11.00 ,$11.65 ,16.50%,$1.00 ,$1.65 ,1,Missed
7/28/2011,Chefs Warehouse Holdings ,CHEF,Jefferies/ BMO Capital Markets/ Wells Fargo Securities,$15.00 ,$17.00 ,$17.50 ,16.67%,$2.00 ,$2.50 ,2,
7/28/2011,Horizon Pharma ,HZNP,Stifel Nicolaus Weisel/ Cowen/ JMP Securities,$9.00 ,$9.00 ,$9.15 ,1.67%,$0.00 ,$0.15 ,1,
7/28/2011,Teavana Holdings ,TEA,"BofA Merrill Lynch/ Goldman, Sachs",$17.00 ,$28.95 ,$27.80 ,63.53%,$11.95 ,$10.80 ,3,
7/28/2011,Wesco Aircraft Holdings ,WAIR,Barclays Capital/ Morgan Stanley,$15.00 ,$14.75 ,$14.92 ,-0.53%,($0.25),($0.08),1,
7/29/2011,C&J Energy Services ,CJES,"Goldman, Sachs/ J.P. Morgan/ Citi",$29.00 ,$30.00 ,$30.50 ,5.17%,$1.00 ,$1.50 ,3,
8/4/2011,American Capital Mortgage Investment ,MTGE,Citi/ Deutsche Bank Securities/ UBS Investment Bank/ Wells Fargo Securities,$20.00 ,$19.00 ,$18.41 ,-7.95%,($1.00),($1.59),1,
8/11/2011,Carbonite ,CARB,BofA Merrill Lynch/ J.P. Morgan,$10.00 ,$10.93 ,$12.35 ,23.50%,$0.93 ,$2.35 ,1,
8/11/2011,SandRidge Permian Trust ,PER,Morgan Stanley/ Raymond James/ RBC Capital Markets/ Wells Fargo Securities,$18.00 ,$18.00 ,$18.00 ,0.00%,$0.00 ,$0.00 ,1,
